##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:38:08
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.49726915e+00, -1.99946626e-07, 1.33130506e-01, 3.59122383e+04, 3.26362193e-01, 3.92528687e+02, 9.17033315e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.59122383e+04, 3.83267395e+02, 4.81413782e-01, 6.18886172e+04, 4.47771179e+02, 3.59934143e+02, 3.37375885e+02, 1.23875748e+02, 1.96190338e+01
5.49824286e+00, 3.55288194e-07, 1.21600397e-01, 3.63543633e+04, 3.31971467e-01, 3.91583008e+02, 9.31962192e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.63543633e+04, 3.81424530e+02, 4.95532632e-01, 6.36973555e+04, 4.47726685e+02, 3.64855896e+02, 3.38241974e+02, 1.36421722e+02, 1.00656662e+01
5.49824286e+00, -3.66756666e-07, 1.21600397e-01, 3.63551836e+04, 3.31978768e-01, 3.91582764e+02, 9.31964993e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.63551836e+04, 3.81424164e+02, 4.95547444e-01, 6.36992500e+04, 4.47726624e+02, 3.64913208e+02, 3.38245117e+02, 1.36567276e+02, 1.00627851e+01
5.50019217e+00, 1.08720577e-07, 9.85402986e-02, 3.77290156e+04, 3.43574703e-01, 3.92110626e+02, 9.22600091e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.77290156e+04, 3.82452118e+02, 5.08944809e-01, 6.54039688e+04, 4.47607391e+02, 3.61699005e+02, 3.36270050e+02, 1.33094482e+02, 5.87141085e+00
5.50019217e+00, -1.20186726e-07, 9.85402986e-02, 3.77218594e+04, 3.43508065e-01, 3.92113220e+02, 9.22568917e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.77218594e+04, 3.82456116e+02, 5.08806825e-01, 6.53862031e+04, 4.47607239e+02, 3.61716431e+02, 3.36258423e+02, 1.33171326e+02, 5.86910629e+00
5.50116587e+00, 2.75529061e-07, 8.70101973e-02, 3.82790273e+04, 3.45251441e-01, 3.94016235e+02, 8.91163945e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.82790273e+04, 3.86178131e+02, 4.99166399e-01, 6.41401641e+04, 4.47557190e+02, 3.51073395e+02, 3.31762421e+02, 1.14282570e+02, -1.12119293e+01
5.50116587e+00, -2.86996766e-07, 8.70101973e-02, 3.82803984e+04, 3.45264405e-01, 3.94015930e+02, 8.91167283e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.82803984e+04, 3.86177673e+02, 4.99191880e-01, 6.41434453e+04, 4.47557190e+02, 3.51110138e+02, 3.31765381e+02, 1.14386574e+02, -1.12146654e+01
5.50214005e+00, 4.42337523e-07, 7.54801035e-02, 3.12656426e+04, 2.88463533e-01, 3.89504974e+02, 9.63454485e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.12656426e+04, 3.77391174e+02, 4.41382915e-01, 5.67090391e+04, 4.47507721e+02, 3.75060272e+02, 3.48758331e+02, 1.32428101e+02, -3.87380638e+01
5.50214005e+00, -4.53806791e-07, 7.54801035e-02, 3.12683906e+04, 2.88462818e-01, 3.89526581e+02, 9.63149309e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.12683906e+04, 3.77428772e+02, 4.41153049e-01, 5.66794688e+04, 4.47507599e+02, 3.75057739e+02, 3.48701080e+02, 1.32569504e+02, -3.87452316e+01
5.50311518e+00, 3.38228823e-08, 6.39500022e-02, 2.22063594e+04, 2.08984643e-01, 3.85730927e+02, 1.02228522e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22063594e+04, 3.70106079e+02, 3.35885525e-01, 4.31551094e+04, 4.47512360e+02, 3.94191833e+02, 3.60886536e+02, 1.14362236e+02, -1.09860756e+02
