##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 14:53:53
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.18553686e+00, 3.17488378e-03, 7.47355968e-02, 1.23983688e+05, 1.33441746e+00, 3.60694855e+02, 1.38640845e+00, 1.23983688e+05, 3.23621002e+02, 5.00070374e+02
5.18553686e+00, -3.17488052e-03, 7.47355968e-02, 1.53115484e+05, 1.58506632e+00, 3.67781006e+02, 1.28778982e+00, 1.53115484e+05, 3.36461548e+02, 4.73624359e+02
5.46942520e+00, 3.17499950e-03, 1.90996304e-01, 7.74885547e+04, 8.88071358e-01, 3.49543427e+02, 1.53918374e+00, 7.74885547e+04, 3.03919983e+02, 5.38000610e+02
5.46942520e+00, -3.17499670e-03, 1.90996304e-01, 9.70467500e+04, 1.09487712e+00, 3.52299072e+02, 1.50152194e+00, 9.70467500e+04, 3.08731384e+02, 5.28947083e+02
5.46963882e+00, 3.17500043e-03, 1.79671198e-01, 8.89594063e+04, 9.99193668e-01, 3.53080139e+02, 1.49065244e+00, 8.89594063e+04, 3.10101318e+02, 5.26315308e+02
5.46963882e+00, -3.17499787e-03, 1.79671198e-01, 9.85657891e+04, 1.10596919e+00, 3.53260254e+02, 1.48830462e+00, 9.85657891e+04, 3.10417664e+02, 5.25753845e+02
5.46984386e+00, 3.17500159e-03, 1.68297797e-01, 8.78292656e+04, 9.87359285e-01, 3.52926636e+02, 1.49271774e+00, 8.78292656e+04, 3.09831665e+02, 5.26818909e+02
5.46984386e+00, -3.17499926e-03, 1.68297797e-01, 1.00066141e+05, 1.11873293e+00, 3.53902557e+02, 1.47947252e+00, 1.00066141e+05, 3.11547516e+02, 5.23587097e+02
5.46996689e+00, 3.17500299e-03, 1.56866595e-01, 8.69462188e+04, 9.81574297e-01, 3.52181793e+02, 1.50289524e+00, 8.69462188e+04, 3.08525146e+02, 5.29291443e+02
5.46996689e+00, -3.17500043e-03, 1.56866595e-01, 1.01604375e+05, 1.13218319e+00, 3.54487793e+02, 1.47141361e+00, 1.01604375e+05, 3.12578705e+02, 5.21595581e+02
5.46999693e+00, 3.17500439e-03, 1.45405903e-01, 8.81258438e+04, 9.93877709e-01, 3.52361572e+02, 1.50038540e+00, 8.81258438e+04, 3.08840332e+02, 5.28678162e+02
5.46999693e+00, -3.17500182e-03, 1.45405903e-01, 1.02532805e+05, 1.14061892e+00, 3.54784393e+02, 1.46731400e+00, 1.02532805e+05, 3.13102020e+02, 5.20578796e+02
5.46982002e+00, 3.17500555e-03, 1.33816093e-01, 8.91084063e+04, 1.00439942e+00, 3.52459808e+02, 1.49898255e+00, 8.91084063e+04, 3.09012543e+02, 5.28330933e+02
5.46982002e+00, -3.17500299e-03, 1.33816093e-01, 1.03077438e+05, 1.14725637e+00, 3.54695068e+02, 1.46850169e+00, 1.03077438e+05, 3.12944305e+02, 5.20869446e+02
5.46935415e+00, 3.17500695e-03, 1.22359999e-01, 8.97261016e+04, 1.01273644e+00, 3.52220642e+02, 1.50220585e+00, 8.97261016e+04, 3.08593292e+02, 5.29107483e+02
5.46935415e+00, -3.17500439e-03, 1.22359999e-01, 1.03424680e+05, 1.15274429e+00, 3.54445313e+02, 1.47189784e+00, 1.03424680e+05, 3.12503754e+02, 5.21705750e+02
5.46888590e+00, 3.17500811e-03, 1.10784300e-01, 9.06512031e+04, 1.02496302e+00, 3.51913696e+02, 1.50636363e+00, 9.06512031e+04, 3.08055634e+02, 5.30109558e+02
5.46888590e+00, -3.17500555e-03, 1.10784300e-01, 1.03732555e+05, 1.15832698e+00, 3.54115936e+02, 1.47637868e+00, 1.03732555e+05, 3.11923279e+02, 5.22808899e+02
5.46846008e+00, 3.17500927e-03, 9.93646011e-02, 9.17421172e+04, 1.03907812e+00, 3.51612183e+02, 1.51048934e+00, 9.17421172e+04, 3.07528076e+02, 5.31104858e+02
5.46846008e+00, -3.17500671e-03, 9.93646011e-02, 1.04110695e+05, 1.16434884e+00, 3.53842255e+02, 1.48011398e+00, 1.04110695e+05, 3.11441284e+02, 5.23725464e+02
5.46821880e+00, 3.17501067e-03, 8.78226012e-02, 9.27637266e+04, 1.05512869e+00, 3.50865234e+02, 1.52076554e+00, 9.27637266e+04, 3.06222900e+02, 5.33581116e+02
5.46821880e+00, -3.17500811e-03, 8.78226012e-02, 1.04788055e+05, 1.17358315e+00, 3.53592072e+02, 1.48356009e+00, 1.04788055e+05, 3.11001068e+02, 5.24572876e+02
5.46799517e+00, 3.17501184e-03, 7.62773007e-02, 9.36949922e+04, 1.07225120e+00, 3.49795563e+02, 1.53552210e+00, 9.36949922e+04, 3.04358612e+02, 5.37112488e+02
5.46799517e+00, -3.17500927e-03, 7.62773007e-02, 1.05705305e+05, 1.18558311e+00, 3.53334412e+02, 1.48717332e+00, 1.05705305e+05, 3.10547974e+02, 5.25468567e+02
5.45805788e+00, 3.17499950e-03, 1.91084906e-01, 7.07181484e+04, 8.32625985e-01, 3.44852234e+02, 1.60343337e+00, 7.07181484e+04, 2.95818817e+02, 5.52895264e+02
5.45805788e+00, -3.17499624e-03, 1.91084906e-01, 9.73471094e+04, 1.09439802e+00, 3.52920807e+02, 1.49302459e+00, 9.73471094e+04, 3.09821472e+02, 5.26914795e+02
5.45801020e+00, 3.17499950e-03, 1.79801196e-01, 8.35873047e+04, 9.51072216e-01, 3.50798431e+02, 1.52196884e+00, 8.35873047e+04, 3.06107239e+02, 5.33889038e+02
5.45801020e+00, -3.17499740e-03, 1.79801196e-01, 9.95560938e+04, 1.11348510e+00, 3.53830353e+02, 1.48052227e+00, 9.95560938e+04, 3.11420380e+02, 5.23852966e+02
5.45794392e+00, 3.17500043e-03, 1.68510497e-01, 8.56247031e+04, 9.69594121e-01, 3.51647217e+02, 1.51030028e+00, 8.56247031e+04, 3.07589447e+02, 5.31090210e+02
5.45794392e+00, -3.17499856e-03, 1.68510497e-01, 1.01421227e+05, 1.12928677e+00, 3.54621613e+02, 1.46963525e+00, 1.01421227e+05, 3.12814819e+02, 5.21162231e+02
5.45785999e+00, 3.17500159e-03, 1.57123595e-01, 8.56338359e+04, 9.72158492e-01, 3.51202454e+02, 1.51636064e+00, 8.56338359e+04, 3.06811768e+02, 5.32549377e+02
5.45785999e+00, -3.17499996e-03, 1.57123595e-01, 1.02676953e+05, 1.14046443e+00, 3.55057739e+02, 1.46362376e+00, 1.02676953e+05, 3.13584656e+02, 5.19670654e+02
5.45762920e+00, 3.17500299e-03, 1.45684898e-01, 8.71581484e+04, 9.85284150e-01, 3.51946014e+02, 1.50613010e+00, 8.71581484e+04, 3.08112244e+02, 5.30075867e+02
5.45762920e+00, -3.17500113e-03, 1.45684898e-01, 1.03138313e+05, 1.14475822e+00, 3.55186676e+02, 1.46182394e+00, 1.03138313e+05, 3.13812439e+02, 5.19218384e+02
5.45728207e+00, 3.17500415e-03, 1.34214297e-01, 8.86485313e+04, 9.99776363e-01, 3.52361023e+02, 1.50038195e+00, 8.86485313e+04, 3.08839294e+02, 5.28675964e+02
5.45728207e+00, -3.17500229e-03, 1.34214297e-01, 1.03256375e+05, 1.14797366e+00, 3.54891846e+02, 1.46583438e+00, 1.03256375e+05, 3.13291718e+02, 5.20211304e+02
5.45671606e+00, 3.17500555e-03, 1.22653402e-01, 8.92689609e+04, 1.00841427e+00, 3.52074341e+02, 1.50425184e+00, 8.92689609e+04, 3.08336945e+02, 5.29608093e+02
