##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:53:21
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.49434614e+00, -2.74845007e-07, 1.67720795e-01, 3.45607734e+04, 3.18654239e-01, 3.89699738e+02, 9.62365270e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.45607734e+04, 3.77763397e+02, 4.87379283e-01, 6.26570039e+04, 4.47781738e+02, 3.75013947e+02, 3.44787476e+02, 1.40377014e+02, 4.52918930e+01
5.49531984e+00, 4.30185906e-07, 1.56190693e-01, 3.61278555e+04, 3.32275182e-01, 3.90186005e+02, 9.54268813e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.61278555e+04, 3.78707184e+02, 5.04911840e-01, 6.49026836e+04, 4.47724609e+02, 3.72245728e+02, 3.40394684e+02, 1.46401413e+02, 3.55663109e+01
5.49531984e+00, -4.41655061e-07, 1.56190693e-01, 3.61288594e+04, 3.32286656e-01, 3.90184265e+02, 9.54292774e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.61288594e+04, 3.78704437e+02, 5.04966557e-01, 6.49097109e+04, 4.47724640e+02, 3.72318573e+02, 3.40402344e+02, 1.46569351e+02, 3.55638885e+01
5.49629498e+00, 2.16712639e-08, 1.44660607e-01, 3.68930273e+04, 3.39678794e-01, 3.89977417e+02, 9.56890643e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.68930273e+04, 3.78299744e+02, 5.17173767e-01, 6.64635391e+04, 4.47621460e+02, 3.73148499e+02, 3.38273865e+02, 1.54724716e+02, 2.95103493e+01
5.49629498e+00, -3.31365939e-08, 1.44660607e-01, 3.68913477e+04, 3.39663595e-01, 3.89977722e+02, 9.56887782e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.68913477e+04, 3.78300110e+02, 5.17145813e-01, 6.64599375e+04, 4.47621399e+02, 3.73153534e+02, 3.38271942e+02, 1.54741211e+02, 2.95095558e+01
5.49726915e+00, 1.88479731e-07, 1.33130506e-01, 3.64252695e+04, 3.36363792e-01, 3.89400940e+02, 9.64704096e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.64252695e+04, 3.77183258e+02, 5.15414834e-01, 6.62097734e+04, 4.47433838e+02, 3.75609802e+02, 3.39650269e+02, 1.58478378e+02, 2.45973091e+01
5.49726915e+00, -1.99946626e-07, 1.33130506e-01, 3.64264180e+04, 3.36375415e-01, 3.89400421e+02, 9.64710474e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.64264180e+04, 3.77182526e+02, 5.15449345e-01, 6.62142031e+04, 4.47433929e+02, 3.75644287e+02, 3.39653839e+02, 1.58553116e+02, 2.45930405e+01
5.49824286e+00, 3.55288194e-07, 1.21600397e-01, 3.66292148e+04, 3.39399099e-01, 3.88735962e+02, 9.73895133e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.66292148e+04, 3.75897766e+02, 5.24016142e-01, 6.72870625e+04, 4.47250366e+02, 3.78499573e+02, 3.40008881e+02, 1.65719711e+02, 1.38873901e+01
5.49824286e+00, -3.66756666e-07, 1.21600397e-01, 3.66302813e+04, 3.39410633e-01, 3.88735321e+02, 9.73903477e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.66302813e+04, 3.75896790e+02, 5.24056792e-01, 6.72922813e+04, 4.47250305e+02, 3.78568024e+02, 3.40014648e+02, 1.65865097e+02, 1.38767672e+01
5.50019217e+00, 1.08720577e-07, 9.85402986e-02, 3.77158906e+04, 3.46993744e-01, 3.90106842e+02, 9.49565649e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.77158906e+04, 3.78553497e+02, 5.25180936e-01, 6.73792813e+04, 4.46870087e+02, 3.70357513e+02, 3.35038513e+02, 1.57667801e+02, 7.39981747e+00
5.50019217e+00, -1.20186726e-07, 9.85402986e-02, 3.77088945e+04, 3.46927792e-01, 3.90109375e+02, 9.49530721e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.77088945e+04, 3.78557617e+02, 5.25044620e-01, 6.73617031e+04, 4.46869629e+02, 3.70374084e+02, 3.35025330e+02, 1.57735062e+02, 7.39312887e+00
5.50116587e+00, 2.75529061e-07, 8.70101973e-02, 3.80464648e+04, 3.47256333e-01, 3.91681305e+02, 9.23321843e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.80464648e+04, 3.81614471e+02, 5.14782906e-01, 6.60236953e+04, 4.46724060e+02, 3.61584167e+02, 3.31053894e+02, 1.44850937e+02, -1.28310900e+01
5.50116587e+00, -2.86996766e-07, 8.70101973e-02, 3.80482578e+04, 3.47274929e-01, 3.91681091e+02, 9.23324585e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.80482578e+04, 3.81614105e+02, 5.14829040e-01, 6.60296094e+04, 4.46724060e+02, 3.61630249e+02, 3.31057922e+02, 1.44956055e+02, -1.28389397e+01
5.50214005e+00, 4.42337523e-07, 7.54801035e-02, 3.11792500e+04, 2.90677369e-01, 3.87497894e+02, 9.89415884e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.11792500e+04, 3.73510132e+02, 4.54368114e-01, 5.82707578e+04, 4.46690613e+02, 3.83194458e+02, 3.46131744e+02, 1.58551483e+02, -4.34996567e+01
5.50214005e+00, -4.53806791e-07, 7.54801035e-02, 3.11821797e+04, 2.90680319e-01, 3.87518799e+02, 9.89119649e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.11821797e+04, 3.73546478e+02, 4.54158813e-01, 5.82438320e+04, 4.46690308e+02, 3.83204834e+02, 3.46074707e+02, 1.58697830e+02, -4.35113449e+01
5.50311518e+00, 3.38228823e-08, 6.39500022e-02, 2.26896523e+04, 2.13498220e-01, 3.85778198e+02, 1.01676381e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.26896523e+04, 3.70197693e+02, 3.41636419e-01, 4.38231953e+04, 4.46791107e+02, 3.92108276e+02, 3.47540985e+02, 1.44024338e+02, -1.10549294e+02
5.50311518e+00, -4.52883278e-08, 6.39500022e-02, 2.26874922e+04, 2.13476509e-01, 3.85779694e+02, 1.01674104e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.26874922e+04, 3.70200287e+02, 3.41586441e-01, 4.38167578e+04, 4.46790924e+02, 3.92109283e+02, 3.47531708e+02, 1.44049057e+02, -1.10549850e+02
5.50408888e+00, 5.61433035e-06, 5.24199009e-02, 4.92973477e+04, 5.20962000e-01, 3.64029999e+02, 1.33368659e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.92973477e+04, 3.29640167e+02, 1.11589646e+00, 1.43200453e+05, 4.46975220e+02, 4.85399445e+02, 4.77206970e+02, 1.14429741e+01, -8.80635071e+01
5.50408888e+00, -4.26691440e-06, 5.24199009e-02, 4.92939336e+04, 5.20908892e-01, 3.64034851e+02, 1.33361781e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.92939336e+04, 3.29647888e+02, 1.11558700e+00, 1.43160578e+05, 4.46974854e+02, 4.85365997e+02, 4.77153320e+02, 1.21807022e+01, -8.80707779e+01
5.49854422e+00, 3.17484885e-03, 5.27324006e-02, 9.42910938e+04, 9.74595964e-01, 3.68065826e+02, 1.27977705e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.42910938e+04, 3.36982910e+02, 1.97895479e+00, 2.54216750e+05, 4.47437256e+02, 4.71038300e+02, 4.54849457e+02, -1.07517830e+02, -5.85573349e+01
5.49854422e+00, -3.17484559e-03, 5.27324006e-02, 1.20611516e+05, 1.20859528e+00, 3.73814270e+02, 1.19870698e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.20611516e+05, 3.47591187e+02, 2.27259421e+00, 2.92008344e+05, 4.47545502e+02, 4.48089630e+02, 4.32450623e+02, 1.03238960e+02, -5.57896271e+01
5.47883892e+00, 3.17501440e-03, 6.47094995e-02, 8.44449141e+04, 9.99763429e-01, 3.43907471e+02, 1.61518121e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.44449141e+04, 2.94198242e+02, 2.85568929e+00, 3.67137438e+05, 4.47797516e+02, 5.55472961e+02, 5.55450623e+02, -4.86892080e+00, -1.03213382e+00
5.47883892e+00, -3.17501114e-03, 6.47094995e-02, 1.07376500e+05, 1.21308839e+00, 3.52056122e+02, 1.50410497e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.07376500e+05, 3.08305084e+02, 3.08400416e+00, 3.96573781e+05, 4.47891632e+02, 5.29529419e+02, 5.29188293e+02, 1.83783054e+00, -1.89150238e+01
