##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 16:41:46
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.46693277e+00, -3.17500997e-03, 6.47094995e-02, 1.28186664e+05, 1.36380100e+00, 3.62785095e+02, 1.35669911e+00, 1.28186664e+05, 3.27382660e+02, 4.92189545e+02
5.45502710e+00, 3.17501184e-03, 6.47094995e-02, 8.07093203e+04, 9.45765018e-01, 3.45679321e+02, 1.59208953e+00, 8.07093203e+04, 2.97237549e+02, 5.50351685e+02
5.45502710e+00, -3.17500858e-03, 6.47094995e-02, 1.28234039e+05, 1.36417902e+00, 3.62801453e+02, 1.35651600e+00, 1.28234039e+05, 3.27412292e+02, 4.92145142e+02
5.44312191e+00, 3.17501067e-03, 6.47094995e-02, 7.95282813e+04, 9.33728278e-01, 3.45345428e+02, 1.59662974e+00, 7.95282813e+04, 2.96663696e+02, 5.51388123e+02
5.44312191e+00, -3.17500741e-03, 6.47094995e-02, 1.27591203e+05, 1.35981917e+00, 3.62470795e+02, 1.36111248e+00, 1.27591203e+05, 3.26815735e+02, 4.93363129e+02
5.43121576e+00, 3.17500951e-03, 6.47094995e-02, 7.88656953e+04, 9.25754726e-01, 3.45381836e+02, 1.59610295e+00, 7.88656953e+04, 2.96726227e+02, 5.51264709e+02
5.43121576e+00, -3.17500625e-03, 6.47094995e-02, 1.28044797e+05, 1.36281145e+00, 3.62715912e+02, 1.35771775e+00, 1.28044797e+05, 3.27257782e+02, 4.92465698e+02
5.41931105e+00, 3.17500811e-03, 6.47094995e-02, 7.79766484e+04, 9.16482210e-01, 3.45162537e+02, 1.59906852e+00, 7.79766484e+04, 2.96349426e+02, 5.51936829e+02
5.41931105e+00, -3.17500485e-03, 6.47094995e-02, 1.28218898e+05, 1.36325669e+00, 3.62903137e+02, 1.35506856e+00, 1.28218898e+05, 3.27595764e+02, 4.91758118e+02
5.40740490e+00, 3.17500695e-03, 6.47094995e-02, 7.56084766e+04, 8.92894864e-01, 3.44339661e+02, 1.61018872e+00, 7.56084766e+04, 2.94938232e+02, 5.54451233e+02
5.40740490e+00, -3.17500369e-03, 6.47094995e-02, 1.26684109e+05, 1.34891498e+00, 3.62636810e+02, 1.35864544e+00, 1.26684109e+05, 3.27115143e+02, 4.92694672e+02
5.39550018e+00, 3.17500578e-03, 6.47094995e-02, 7.60418359e+04, 8.96487236e-01, 3.44633545e+02, 1.60621083e+00, 7.60418359e+04, 2.95441864e+02, 5.53553528e+02
5.39550018e+00, -3.17500252e-03, 6.47094995e-02, 1.29800336e+05, 1.37581098e+00, 3.63464447e+02, 1.34721959e+00, 1.29800336e+05, 3.28610016e+02, 4.89666168e+02
